Symbol,Name,Country,Type,Industry/Objective
SBPSOEA:PM,SB Peso Money Market Fund,PH,Open-End Fund,General Corporate Bond
MCUSSEC:PM,MC USD Secure Fund,PH,Open-End Fund,Aggregate Bond
ATREUEQ:PM,ATRAM European Equity Opportunity Feeder Fund,PH,Open-End Fund,European Region
FMSLFIX:PM,First Metro Save & Learn Fixed-Income Fund,PH,Open-End Fund,Aggregate Bond
PHILPSE:PM,Philequity PSE Index Fund Inc,PH,Open-End Fund,Blend Broad Market
BDOTFEF:PM,BDO Focused Equity Fund,PH,Open-End Fund,Blend Broad Market
MSTFUND:PM,Metro Short Term Fund,PH,Open-End Fund,General (Non-US)
EPCIBGS:PM,BDO GS Fund,PH,Open-End Fund,Government Long
ALFMGRW:PM,ALFM Growth Fund,PH,Open-End Fund,Aggressive Allocation
SLGVUGF:PM,Sun Life Grepa Growth Fund,PH,Open-End Fund,Growth Broad Market
ALFMMMF:PM,ALFM Money Market Fund,PH,Open-End Fund,General (Non-US)
SLPVU08:PM,Sun Life Financial MyFuture 2030 Fund,PH,Open-End Fund,Dynamic Allocation
SBPEIDX:PM,SB Philippine Equity Index Fund,PH,Open-End Fund,Growth Broad Market
MCBFUND:PM,Metro Corporate Bond Fund,PH,Open-End Fund,General Corporate Bond
BDOPMMF:PM,BDO Peso Money Market Fund,PH,Open-End Fund,General (Non-US)
SLPVU14:PM,Sun Life Financial Growth Fund,PH,Open-End Fund,Growth Broad Market
SNCPPEA:PM,Sun Life Prosperity Philippine Equity Fund Inc,PH,Open-End Fund,Growth Broad Market
BDODBF:PM,BDO Dollar Bond Fund,PH,Open-End Fund,Government Long
MWEFDER:PM,Metro World Equity Feeder Fund,PH,Open-End Fund,Foreign Growth
MCPHGRW:PM,MC Peso Growth Fund,PH,Open-End Fund,Growth Broad Market
SLGVUGI:PM,Sun Life Grepa Global Income Fund,PH,Open-End Fund,Foreign Aggregate Bond
MPPHPWR:PM,Manulife Philippines Powerhouse Fund,PH,Open-End Fund,Growth Broad Market
GRPLFIX:PM,Grepalife Fixed Income Fund,PH,Open-End Fund,General Corporate Bond
PHILABF:PM,Philam Bond Fund,PH,Open-End Fund,Aggregate Bond
CNBINTFI:PM,China Banking Corp - ChinaBank Intermediate Fixed Income Fund,PH,Open-End Fund,Aggregate Bond Intermediate
SBUSEFB:PM,SB US Equity Feeder Fund,PH,Open-End Fund,N.A.
SNCPRBF:PM,Sun Life Prosperity Bond Fund Inc,PH,Open-End Fund,Aggregate Bond
SLGVUGO:PM,Sun Life Grepa Global Opportunity Fund,PH,Open-End Fund,Foreign Growth
MCPHPWR:PM,Manulife Chinabank Powerhouse Fund,PH,Open-End Fund,Growth Broad Market
SBAPEFA:PM,SB Asia Pacific Equity Feeder Fund,PH,Open-End Fund,N.A.
ALPHAOP:PM,ATRAM Alpha Opportunity Fund,PH,Open-End Fund,Growth Small Cap
SBUSEFF:PM,SB US Equity Feeder Fund,PH,Open-End Fund,N.A.
BPIDBIX:PM,BPI Philippine Dollar Bond Index Bond Fund,PH,Open-End Fund,Aggregate Bond
SLWVOYA:PM,Sun Life Prosperity World Voyager Fund Inc,PH,Open-End Fund,Foreign Growth
PRULFIX:PM,ATRAM Corporate Bond Fund Inc,PH,Open-End Fund,General Corporate Bond
NMFTPHP:PM,NCM Mutual Fund of the Phils Inc,PH,Open-End Fund,Moderate Allocation
GSISMUT:PM,PAMI Horizon Fund Inc,PH,Open-End Fund,Global Allocation
SBGLEFB:PM,SB Global Equity Feeder Fund,PH,Open-End Fund,N.A.
PHILDBF:PM,Philam Dollar Bond Fund Inc,PH,Open-End Fund,Government Bond
PROPBAL:PM,ATRAM Dynamic Allocation Fund,PH,Open-End Fund,Dynamic Allocation
SLPVU04:PM,Sun Life Financial Peso Balanced Fund,PH,Open-End Fund,Global Allocation
AUBPPIF:PM,AUB Peso Investment Fund,PH,Open-End Fund,Aggregate Bond Intermediate
SLPVU23:PM,Sun Life Financial Growth Plus Fund,PH,Open-End Fund,Growth Broad Market
SLGVU35:PM,Sun Life Grepa MyFuture 2035 Fund,PH,Open-End Fund,Dynamic Allocation
MCPHGRW:PM,MC Peso Growth Fund,PH,Open-End Fund,Growth Broad Market
SLGVUGI:PM,Sun Life Grepa Global Income Fund,PH,Open-End Fund,Foreign Aggregate Bond
SNCPRBF:PM,Sun Life Prosperity Bond Fund Inc,PH,Open-End Fund,Aggregate Bond
SLGVUGO:PM,Sun Life Grepa Global Opportunity Fund,PH,Open-End Fund,Foreign Growth
MCPHPWR:PM,Manulife Chinabank Powerhouse Fund,PH,Open-End Fund,Growth Broad Market
SBAPEFA:PM,SB Asia Pacific Equity Feeder Fund,PH,Open-End Fund,N.A.
MBPHLBD:PM,Metro$ Max-5 Bond Fund,PH,Open-End Fund,High Yield Bond
SLGVU35:PM,Sun Life Grepa MyFuture 2035 Fund,PH,Open-End Fund,Dynamic Allocation
SLPVU23:PM,Sun Life Financial Growth Plus Fund,PH,Open-End Fund,Growth Broad Market
SLPVU14:PM,Sun Life Financial Growth Fund,PH,Open-End Fund,Growth Broad Market
AUBBGDF:PM,AUB Gold Dollar Fund,PH,Open-End Fund,Aggregate Bond Intermediate
BDOGESF:PM,BDO Global Equity Select Feeder Fund,PH,Open-End Fund,Foreign Growth
PREPSGF:PM,Premier Philam Strategic Growth Fund,PH,Open-End Fund,Growth Broad Market
GSISMUT:PM,PAMI Horizon Fund Inc,PH,Open-End Fund,Global Allocation
SLWVOYA:PM,Sun Life Prosperity World Voyager Fund Inc,PH,Open-End Fund,Foreign Growth
PRULFIX:PM,ATRAM Corporate Bond Fund Inc,PH,Open-End Fund,General Corporate Bond
BPIPRUI:PM,BPI Premium Bond UITF,PH,Open-End Fund,Aggregate Bond Intermediate
IFDPMMP:PM,UnionBank Peso Short Term Fixed Income Portfolio,PH,Open-End Fund,General (Non-US)
ATREMEQ:PM,ATRAM Emerging Markets Equity Opportunity Feeder Fund,PH,Open-End Fund,Emerging Market Stock
ATRPHFI:PM,ATRAM Total Return Peso Bond Fund,PH,Open-End Fund,General Corporate Bond
IFDPMMP:PM,UnionBank Peso Short Term Fixed Income Portfolio,PH,Open-End Fund,General (Non-US)
ATREMEQ:PM,ATRAM Emerging Markets Equity Opportunity Feeder Fund,PH,Open-End Fund,Emerging Market Stock
EASPMON:PM,EastWest Peso Money Market Fund,PH,Open-End Fund,General (Non-US)
EASDITB:PM,EastWest Dollar Intermediate Term Bond Fund,PH,Open-End Fund,Aggregate Bond Intermediate
PHCDEUR:LX,Portland Hill Fund SICAV - Catalyst Driven Strategy,LU,Open-End Fund,Multi Strategy
PHSMAIL:LN,Phoenix SM Artemis Income-Life,GB,Open-End Fund,N.A.
PHSPAFI:LN,Phoenix Scottish Provident Aberdeen Fixed Interest,GB,Open-End Fund,N.A.
PHNCVBAA:CN,Phillips Hager & North Community Values Balanced Fund,CA,Open-End Fund,Dynamic Allocation
PHSMFET:LN,Phoenix SM Far Eastern,GB,Open-End Fund,Asian Pacific Region ex Japan
PHNCEUFN:CN,Phillips Hager & North Canadian Equity Underlying Fund II,CA,Open-End Fund,N.A.
PH&CIAL:CN,Phillips Hager & North Canadian Income Fund,CA,Open-End Fund,Dynamic Allocation
PHSMFEP:LN,Phoenix SM Fidelity European-Pen,GB,Open-End Fund,N.A.
PHYBX:US,Putnam High Yield Advantage Fund,US,Open-End Fund,High Yield Bond
PHLSEIG:FP,Phileas L/S Europe,FR,Open-End Fund,Market Neutral
PHNOEPEO:CN,Phillips Hager & North Overseas Equity Pension Trust,CA,Open-End Fund,Foreign Blend
PHNUSDAD:CN,Phillips Hager & North US Dividend Income Fund,CA,Open-End Fund,US
PHSM35S:LN,Phoenix SCP K Managed Life 0 35% Shares,GB,Open-End Fund,N.A.
PHTARGA:LX,Pharus Sicav - Target,LU,Open-End Fund,High Yield Bond
PHBGMFA:LX,Pharus Sicav - Best Global Managers Flexible Equity,LU,Open-End Fund,Dynamic Allocation
PHFABDF:CH,Penghua Fengan Bond Fund,CN,Open-End Fund,Multiple Region
PHOHISL:LN,Phoenix Option High Yield,GB,Open-End Fund,N.A.
PHXUNST:LN,Phoenix United States,GB,Open-End Fund,N.A.
PHNCDNFC:CN,Phillips Hager & North Canadian Equity Fund,CA,Open-End Fund,Blend Broad Market
PHNBNDFF:CN,Phillips Hager & North Bond Fund,CA,Open-End Fund,Aggregate Bond Long
PHASEJI:MK,Pheim Asia Ex Japan Islamic Fund,MY,Open-End Fund,Dynamic Allocation
PHNCEQPO:CN,Phillips Hager & North Canadian Equity Pension Trust,CA,Open-End Fund,Blend Broad Market
PHOHISA:LN,Phoenix Option High Yield,GB,Open-End Fund,N.A.
PHHOEAF:CN,Phillips Hager & North Overseas Equity Fund,CA,Open-End Fund,Foreign Blend
PHAABRQ:LX,Pharus Sicav - Absolute Return,LU,Open-End Fund,Conservative Allocation
PHXYUMF:CH,Penghua Xingyue Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHSMNHI:LN,Phoenix Scottish Mutual Newton Higher Income,GB,Open-End Fund,N.A.
PHNCVGAI:CN,Phillips Hager & North Community Values Global Equity Fund,CA,Open-End Fund,Foreign Value
PHMZADB:LX,Pharus SICAV - Marzotto Active Diversified,LU,Open-End Fund,Foreign Blend
PHWHEIE:LX,PHARMA/wHEALTH,LU,Open-End Fund,Health Care Sector
PHCDPPN:LN,Phoenix Cash Deposit - Pension,GB,Open-End Fund,N.A.
PHNAMS1:LN,Phoenix North America,GB,Open-End Fund,N.A.
PHCDINCC:CN,Phillips Hager & North Canadian Income Fund,CA,Open-End Fund,Dynamic Allocation
PHELSCU:LX,Portland Hill Fund SICAV - European Long/Short,LU,Open-End Fund,Long Short
PHNNAEFF:CN,Phillips Hager & North US Growth Fund,CA,Open-End Fund,North American Region
PHALASM:LN,Phoenix Alba LAS Managed,GB,Open-End Fund,N.A.
PHNUSMMO:CN,Phillips Hager & North $US Money Market Fund,CA,Open-End Fund,USD Focused (Non-US)
PHIDEUR:LX,Pictet - High Dividend Selection,LU,Open-End Fund,Foreign Value
PHALASI:LN,Phoenix Alba LAS International,GB,Open-End Fund,N.A.
PHPGBS4:LN,Phoenix Property Growth Building Society,GB,Open-End Fund,N.A.
PHAREAQ:LX,Pharus Sicav - Europe Absolute Fund,LU,Open-End Fund,Dynamic Allocation
PHXSAPI:LN,Phoenix SCP E Americas Perform Life,GB,Open-End Fund,N.A.
PHFINCO:CH,Penghua Income Bond Fund,CN,Open-End Fund,Aggregate Bond
PHNBALAL:CN,Phillips Hager & North Balanced Fund,CA,Open-End Fund,Dynamic Allocation
PHHSFAC:CH,Penghua Hongshi Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHFFAEC:LX,Phaidros Funds - Fallen Angels,LU,Open-End Fund,Conservative Allocation
PHXEQTY:LN,Phoenix Equity,GB,Open-End Fund,N.A.
PHCI9AC:LN,Phoenix Century International,GB,Open-End Fund,N.A.
PHXRSIN:LN,Phoenix RSALP International,GB,Open-End Fund,N.A.
PHCAEGA:LN,Phoenix Century American Emerging Growth,GB,Open-End Fund,N.A.
PHHZFAA:CH,Penghua Hongzun Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHHRFFA:CH,Penghua Hongrun Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHAGNPF:TB,Phatra Global New Perspective,TH,Fund of Funds,Foreign Growth
PHNRQNO:CN,RBC Qube Low Volatility All Country World Equity Fund,CA,Open-End Fund,N.A.
PHDIDYC:LX,Pictet - High Dividend Selection,LU,Open-End Fund,Foreign Value
PHCIFXI:LN,Phoenix Century International Fixed Interest,GB,Open-End Fund,N.A.
PHSMFET:LN,Phoenix SM Far Eastern,GB,Open-End Fund,Asian Pacific Region ex Japan
PHXYUMF:CH,Penghua Xingyue Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHSMNHI:LN,Phoenix Scottish Mutual Newton Higher Income,GB,Open-End Fund,N.A.
PHOHISA:LN,Phoenix Option High Yield,GB,Open-End Fund,N.A.
PHHOEAF:CN,Phillips Hager & North Overseas Equity Fund,CA,Open-End Fund,Foreign Blend
PHAABRQ:LX,Pharus Sicav - Absolute Return,LU,Open-End Fund,Conservative Allocation
PHMWLTI:LX,PHARMA/wHEALTH,LU,Open-End Fund,Health Care Sector
PHCOSAP:LN,Pru Henderson China Opportunities Ser A-Pen,GB,Open-End Fund,N.A.
PHSCPWP:LN,Phoenix SCP E Worldwide Perf,GB,Open-End Fund,Foreign Value
PHIAEDA:LX,Philae Fund-Active Emerging Debt,LU,Open-End Fund,Emerging Markets Bond
PHXCING:LN,Phoenix Century International Growth,GB,Open-End Fund,N.A.
PHAIERB:LX,Pharus Sicav - International Equity Quant,LU,Open-End Fund,Foreign Blend
PHAAREC:LX,Pharus Sicav - Absolute Return,LU,Open-End Fund,Conservative Allocation
PHNUSMAO:CN,Phillips Hager & North US Multi-style All-cap Equity Fund,CA,Open-End Fund,US
PHXKROF:CH,Penghua Xingkang Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHSFAMC:CH,Penghua Hongshang Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHCNA1C:LN,Phoenix Century North American,GB,Open-End Fund,N.A.
PHFHBOF:CH,Penghua Fengheng Bond Fund,CN,Open-End Fund,Multiple Region
PHNCVBOO:CN,Phillips Hager & North Community Values Bond Fund,CA,Open-End Fund,Aggregate Bond
PHNMHDG:BZ,Phenom Capital Hedge FI Multimercado Longo Prazo,BR,Fund of Funds,Dynamic Allocation
PHFHBFD:CH,Penghua Fenghui Bond Fund,CN,Open-End Fund,Multiple Region
PHXYROM:CH,Penghua Xingyu Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHOVEQUC:CN,Phillips Hager & North Overseas Equity Fund,CA,Open-End Fund,Foreign Blend
PHNINFBA:CN,PH&N - Inflation-Linked Bond Fund,CA,Open-End Fund,Inflation Protected
PHGL100:AD,Mora Physical Gold Fund FI,AD,Open-End Fund,Precious Metals
PHAABRE:LX,Pharus Sicav - Absolute Return,LU,Open-End Fund,Conservative Allocation
PHXLFIN:LN,Phoenix Scottish Mutual Liontrust First Income,GB,Open-End Fund,N.A.
PHYS/U:CN,Sprott Physical Gold Trust,CA,Closed-End Fund,Precious Metals
PHHFALC:CH,Penghua Hongxin Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHHHFLA:CH,Penghua Honghui Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHCI9AC:LN,Phoenix Century International,GB,Open-End Fund,N.A.
PHNUSMMO:CN,Phillips Hager & North $US Money Market Fund,CA,Open-End Fund,USD Focused (Non-US)
PHXWPB2:LN,Phoenix With Profits Bond,GB,Open-End Fund,N.A.
PHAREAG:LX,Pharus Sicav - Europe Absolute Fund,LU,Open-End Fund,Dynamic Allocation
PHSIPHK:HK,Pictet Strategic Income,HK,Open-End Fund,Dynamic Allocation
PHSCHEL:LN,Phoenix SCP H European Life,GB,Open-End Fund,N.A.
PHLASNA:LN,Phoenix Alba LAS North America,GB,Open-End Fund,N.A.
PHCHX:US,Virtus High Yield Fund,US,Open-End Fund,High Yield Bond
PHNAF2I:LN,Phoenix North America - Pension,GB,Open-End Fund,N.A.
PHCIX:US,Virtus High Yield Fund,US,Open-End Fund,High Yield Bond
PHCDINCC:CN,Phillips Hager & North Canadian Income Fund,CA,Open-End Fund,Dynamic Allocation
PHELSCU:LX,Portland Hill Fund SICAV - European Long/Short,LU,Open-End Fund,Long Short
PHNNAEFF:CN,Phillips Hager & North US Growth Fund,CA,Open-End Fund,North American Region
PHFFAEC:LX,Phaidros Funds - Fallen Angels,LU,Open-End Fund,Conservative Allocation
PHALASM:LN,Phoenix Alba LAS Managed,GB,Open-End Fund,N.A.
PHEGS4L:LN,Pru Henderson European Growth S4-Life,GB,Open-End Fund,N.A.
PHNUMMF:CN,Phillips Hager & North $US Money Market Fund,CA,Open-End Fund,USD Focused (Non-US)
PHHSFMC:CH,Penghua Hongsheng Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHLSEUI:FP,Phileas L/S Europe,FR,Open-End Fund,Market Neutral
PHXWPB2:LN,Phoenix With Profits Bond,GB,Open-End Fund,N.A.
PHAREAG:LX,Pharus Sicav - Europe Absolute Fund,LU,Open-End Fund,Dynamic Allocation
PHSIPHK:HK,Pictet Strategic Income,HK,Open-End Fund,Dynamic Allocation
PHSCPMN:LN,Phoenix SCP Managed,GB,Open-End Fund,Global Allocation
PHI:LN,Pacific Horizon Investment Trust PLC,GB,Closed-End Fund,Asian Pacific Region ex Japan
PHGOLDA:KY,Physical Gold Fund,KY,Open-End Fund,Precious Metals
PHXHROM:CH,Penghua Xinghua Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHNVNTFO:CN,Phillips Hager & North Vintage Fund,CA,Open-End Fund,Growth Small Cap
PHXSNAI:LN,Phoenix SCP H North American Life,GB,Open-End Fund,N.A.
PHIDSIU:LX,Pictet - High Dividend Selection,LU,Open-End Fund,Foreign Value
PHDSPSG:LX,Pictet - High Dividend Selection,LU,Open-End Fund,Foreign Value
PHNUMAEC:CN,Phillips Hager & North US Multi-Style All-Cap Equity Class,CA,Open-End Fund,US
PHMSF1M:LN,Phoenix Money Ser - Pension,GB,Open-End Fund,N.A.
PHLFRAC:FP,Philippe Gestion Opera France,FR,Open-End Fund,Multiple Region
PHNCHUEF:CN,Phillips Hager & North Currency-Hedged US Equity Fund,CA,Open-End Fund,US
PHXRSEI:LN,Phoenix RSALP Equity Income,GB,Open-End Fund,N.A.
PHRSPEE:LN,Phoenix R SA Phoenix EBOR Equity,GB,Open-End Fund,N.A.
PHFALMA:CH,Penghua HongXin Flexible Allocation Mixed Securities Fund,CN,Open-End Fund,Dynamic Allocation
PHJDPGC:CH,Penghua Jinding Principal Guaranteed Mixed Fund,CN,Open-End Fund,Moderate Allocation
PHIINCO:SP,Phillip Investment Funds - Income Fund,SG,Open-End Fund,Dynamic Allocation
PHSWRSB:LX,Pharus SICAV - Swan Relative Strategy,LU,Open-End Fund,Market Neutral
PHSCHEL:LN,Phoenix SCP H European Life,GB,Open-End Fund,N.A.
PHLASNA:LN,Phoenix Alba LAS North America,GB,Open-End Fund,N.A.
PHFALMC:CH,Penghua HongXin Flexible Allocation Mixed Securities Fund,CN,Open-End Fund,Dynamic Allocation
PHIDSIU:LX,Pictet - High Dividend Selection,LU,Open-End Fund,Foreign Value
PHDSPSG:LX,Pictet - High Dividend Selection,LU,Open-End Fund,Foreign Value
PHOID2L:LN,PHX H Opt Inc Dist 2: Series A Life,GB,Open-End Fund,N.A.
PHXYROM:CH,Penghua Xingyu Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHOVEQUC:CN,Phillips Hager & North Overseas Equity Fund,CA,Open-End Fund,Foreign Blend
PHATTRB:LX,Pharus SICAV - Athesis Total Return,LU,Open-End Fund,Dynamic Allocation
PHFTROF:CH,Penghua Fengtai Regular Open Bond Fund,CN,Open-End Fund,Aggregate Bond
PHCDINCF:CN,Phillips Hager & North Canadian Income Fund,CA,Open-End Fund,Dynamic Allocation
PHHLTEF:CH,Penghua Healthcare Equity Fund,CN,Open-End Fund,Health Care Sector
PHNLBPT:CN,Phillips Hager & North Long Bond Pension Trust,CA,Open-End Fund,Aggregate Bond Long
PHSHFEL:LN,Phoenix SCP H Far Eastern Life,GB,Open-End Fund,N.A.
PHSMFHP:LN,Phoenix Scottish Mutual AXA Framlington Health - Pension,GB,Open-End Fund,N.A.
PHRLAME:LN,Phoenix R Life Aberdeen Murray Ethical,GB,Open-End Fund,N.A.
PHSCHEL:LN,Phoenix SCP H European Life,GB,Open-End Fund,N.A.
PHLASNA:LN,Phoenix Alba LAS North America,GB,Open-End Fund,N.A.
PHFTROF:CH,Penghua Fengtai Regular Open Bond Fund,CN,Open-End Fund,Aggregate Bond
PHFALMC:CH,Penghua HongXin Flexible Allocation Mixed Securities Fund,CN,Open-End Fund,Dynamic Allocation
PHI:LN,Pacific Horizon Investment Trust PLC,GB,Closed-End Fund,Asian Pacific Region ex Japan
PHGOLDA:KY,Physical Gold Fund,KY,Open-End Fund,Precious Metals
PHXHROM:CH,Penghua Xinghua Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHNVNTFO:CN,Phillips Hager & North Vintage Fund,CA,Open-End Fund,Growth Small Cap
PHNINFBA:CN,PH&N - Inflation-Linked Bond Fund,CA,Open-End Fund,Inflation Protected
PHYS/U:CN,Sprott Physical Gold Trust,CA,Closed-End Fund,Precious Metals
PHXSMNM:LN,Phoenix Scottish Mutual Newton Managed,GB,Open-End Fund,N.A.
PHNCHUEC:CN,Phillips Hager & North Currency-Hedged US Equity Fund,CA,Open-End Fund,US
PHNUMAEC:CN,Phillips Hager & North US Multi-Style All-Cap Equity Class,CA,Open-End Fund,US
PHMSF1M:LN,Phoenix Money Ser - Pension,GB,Open-End Fund,N.A.
PHHIJSL:LN,Phoenix H Invesco Japan Smaller Cos-Life,GB,Open-End Fund,N.A.
PHXLROM:CH,Penghua Xingli Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Aggressive Allocation
PHFSEMP:LN,Phoenix Scottish Mutual First State Global Emerging Markets - Pension,GB,Open-End Fund,N.A.
PHYCAXD:LX,Pioneer Funds - US High Yield,LU,Open-End Fund,High Yield Bond
PHSTX:US,Putnam Global Health Care Fund,US,Open-End Fund,Health Care Sector
PHCSINE:CH,Penghua CSI New Energy Index Classified Fund,CN,Open-End Fund,Energy Sector
PHCNA10:LN,Phoenix Century North American,GB,Open-End Fund,N.A.
PHNOMNIC:CN,Phillips Hager & North Monthly Income Class,CA,Open-End Fund,N.A.
PHNIGOC:CN,Phillips Hager & North Investment Grade Corporate Bond Trust,CA,Open-End Fund,N.A.
PHXZROA:CH,Penghua Xingze Regular Open Flexible Allocation Mixed Fund,CN,Closed-End Fund,Dynamic Allocation
PHGLVDH:LX,Pharus SICAV - Global Value Equity,LU,Open-End Fund,Developed Markets
PHXRFMF:CH,Penghua Xingrui Regular Open Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHNCEAF:CN,Phillips Hager & North Canadian Equity Value Class,CA,Open-End Fund,Blend Large Cap
PHASX:US,Principal MidCap Growth Fund III,US,Open-End Fund,Growth Mid Cap
PHPTBDF:CH,Penghua Putai Bond Fund,CN,Open-End Fund,Multiple Region
PHAAFIX:TB,Phatra Active Fixed Income Fund,TH,Open-End Fund,Government Bond
PHHAFAA:CH,Penghua Hong'an Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHNCHOED:CN,Phillips Hager & North Currency-Hedged Overseas Equity Fund,CA,Open-End Fund,Foreign Blend
PHSMETP:LN,Phoenix Scottish Mutual Equity Tracker - Pension,GB,Open-End Fund,N.A.
PHADEEB:LX,PPF - PMG Partners Funds - Pan European Opportunity Invest,LU,Open-End Fund,European Region
PHYAX:US,PIMCO High Yield Fund,US,Open-End Fund,High Yield Bond
PHIAEDB:LX,Philae Fund-Active Emerging Debt,LU,Open-End Fund,Emerging Markets Bond
PHNBAPTO:CN,Phillips Hager & North Balanced Pension Trust,CA,Open-End Fund,Dynamic Allocation
PHTHX:US,Principal Funds Inc - Principal LifeTime Hybrid 2035 Fund,US,Fund of Funds,Target 2031-2035
PHFSEMP:LN,Phoenix Scottish Mutual First State Global Emerging Markets - Pension,GB,Open-End Fund,N.A.
PHYCAXD:LX,Pioneer Funds - US High Yield,LU,Open-End Fund,High Yield Bond
PHAIBLB:LX,Phaidros Funds - Balanced,LU,Open-End Fund,Dynamic Allocation
PHATSMC:TB,Phatra Small And Mid Cap Equity,TH,Open-End Fund,Growth Mid Cap
PHMZABA:LX,Pharus SICAV - Marzotto Active Bond,LU,Open-End Fund,Foreign Aggregate Bond
PHTRPLQ:LX,Pharus SICAV - Trend Player,LU,Open-End Fund,Global Allocation
PHAYX:US,Putnam High Yield Advantage Fund,US,Open-End Fund,High Yield Bond
PHALASE:LN,Phoenix Alba LAS European,GB,Open-End Fund,N.A.
PHSIPAU:HK,Pictet Strategic Income,HK,Open-End Fund,Dynamic Allocation
PHFI3Y1:TB,Phatra Fixed Income 3y1 Fund,TH,Open-End Fund,Aggregate Bond
PHYIFFM:BZ,Polo High Yield I Credito Privado Investimento no Exterior FIC FI Multimercado,BR,Fund of Funds,Global Allocation
PHBLGRP:LN,Phoenix Balanced Growth - Pension,GB,Open-End Fund,N.A.
PHELOAE:LX,Portland Hill Fund SICAV - European Long Only,LU,Open-End Fund,Long Biased
PHSMSIP:LN,Phoenix SM Stakeholder International Pen,GB,Open-End Fund,N.A.
PHXSRAM:CH,Penghua Xingsheng Regular Open Flexible Allocation Mixed Fund,CN,Closed-End Fund,Dynamic Allocation
PHBINPP:LN,Phoenix BULA Income Protector - Pension,GB,Open-End Fund,N.A.
PHXFIS3:LN,Phoenix Property Growth Fixed Interest,GB,Open-End Fund,N.A.
PHNEIFA:CH,Penghua New Energy Industries Flexible Allocation Mixed Fund,CN,Open-End Fund,Dynamic Allocation
PHXCGLT:LN,Phoenix Century Gilt,GB,Open-End Fund,N.A.
PHTDX:US,Principal Funds Inc-Principal Lifetime Hybrid Income Fund,US,Fund of Funds,Conservative Allocation
PHFXGBA:CH,Penghua Fengxin Grade Bond Fund,CN,Open-End Fund,Aggregate Bond
PHAIERB:LX,Pharus Sicav - International Equity Quant,LU,Open-End Fund,Foreign Blend
PHAAREC:LX,Pharus Sicav - Absolute Return,LU,Open-End Fund,Conservative Allocation
PHNUSMAO:CN,Phillips Hager & North US Multi-style All-cap Equity Fund,CA,Open-End Fund,US
PHEMPIR:LX,PEH SICAV - PEH EMPIRE,LU,Open-End Fund,Moderate Allocation
PHIDSPS:LX,Pictet - High Dividend Selection,LU,Open-End Fund,Foreign Value
PHXGMS4:LN,Phoenix Property Growth Money,GB,Open-End Fund,N.A.
PHMWLTI:LX,PHARMA/wHEALTH,LU,Open-End Fund,Health Care Sector
PHCOSAP:LN,Pru Henderson China Opportunities Ser A-Pen,GB,Open-End Fund,N.A.
PHSCPWP:LN,Phoenix SCP E Worldwide Perf,GB,Open-End Fund,Foreign Value
PHXCING:LN,Phoenix Century International Growth,GB,Open-End Fund,N.A.
PHIAEDA:LX,Philae Fund-Active Emerging Debt,LU,Open-End Fund,Emerging Markets Bond
PHAIBLC:LX,Phaidros Funds - Balanced,LU,Open-End Fund,Dynamic Allocation
PHFMMKT:CH,Penghua Money Market Fund,CN,Open-End Fund,General (Non-US)
PHDRX:US,Putnam High Yield Trust,US,Open-End Fund,High Yield Bond
PHTCX:US,Principal Funds Inc - Principal LifeTime Hybrid 2015 Fund,US,Fund of Funds,Target up to 2015
PHPTBDF:CH,Penghua Putai Bond Fund,CN,Open-End Fund,Multiple Region
PHAAFIX:TB,Phatra Active Fixed Income Fund,TH,Open-End Fund,Government Bond
PHLASFI:LN,Phoenix Alba LAS Fixed Interest,GB,Open-End Fund,N.A.
PHXULS2:LN,PHX S UK Leader: Phoenix Series 2 Units,GB,Open-End Fund,Blend Broad Market
PHTARGH:LX,Pharus Sicav - Target,LU,Open-End Fund,High Yield Bond
PHULASM:LN,Phoenix ULA Shield Managed,GB,Open-End Fund,N.A.
PHRIX:US,Virtus Real Estate Securities,US,Open-End Fund,Real Estate Sector
PHNDIVFF:CN,Phillips Hager & North Dividend Income Fund,CA,Open-End Fund,Value Broad Market
PHPSIEF:CH,Penghua Pension Industry Equity Fund,CN,Open-End Fund,Thematic Sector
